origin,type_origin,destination,tipo_destination,distance_euclidiane,distance_geo
A1,collection,C1,clasification,1,143.638
A1,collection,C2,clasification,0,10.972
A1,collection,C3,clasification,0,8.327
A1,collection,C4,clasification,0,4.776
A1,collection,C5,clasification,0,0.24
A1,collection,C6,clasification,0,0.0
A1,collection,C7,clasification,0,11.26
A1,collection,C8,clasification,1,176.181
A1,collection,C9,clasification,1,176.181
A1,collection,C10,clasification,1,176.181
A1,collection,C11,clasification,2,420.671
A1,collection,C12,clasification,2,433.382
A1,collection,C13,clasification,2,427.886
A1,collection,C14,clasification,2,428.357
A1,collection,C15,clasification,2,432.514
A1,collection,C16,clasification,2,446.487
A1,collection,C17,clasification,2,430.962
A1,collection,C18,clasification,2,444.515
A1,collection,C19,clasification,2,431.372
A1,collection,C20,clasification,3,449.71
A1,collection,C21,clasification,3,450.717
A2,collection,C1,clasification,0,132.645
A2,collection,C2,clasification,0,0.774
A2,collection,C3,clasification,0,2.073
A2,collection,C4,clasification,0,6.317
A2,collection,C5,clasification,0,9.858
A2,collection,C6,clasification,0,9.828
A2,collection,C7,clasification,0,15.314
A2,collection,C8,clasification,1,183.488
A2,collection,C9,clasification,1,183.488
A2,collection,C10,clasification,1,183.488
A2,collection,C11,clasification,2,427.979
A2,collection,C12,clasification,2,440.689
A2,collection,C13,clasification,2,435.193
A2,collection,C14,clasification,2,435.664
A2,collection,C15,clasification,2,439.821
A2,collection,C16,clasification,3,453.794
A2,collection,C17,clasification,2,438.27
A2,collection,C18,clasification,3,451.822
A2,collection,C19,clasification,2,438.679
A2,collection,C20,clasification,3,457.017
A2,collection,C21,clasification,3,458.024
A3,collection,C1,clasification,0,139.12
A3,collection,C2,clasification,0,7.257
A3,collection,C3,clasification,0,4.612
A3,collection,C4,clasification,0,0.743
A3,collection,C5,clasification,0,4.599
A3,collection,C6,clasification,0,4.569
A3,collection,C7,clasification,0,12.746
A3,collection,C8,clasification,1,178.995
A3,collection,C9,clasification,1,178.995
A3,collection,C10,clasification,1,178.995
A3,collection,C11,clasification,2,423.485
A3,collection,C12,clasification,2,436.196
A3,collection,C13,clasification,2,430.7
A3,collection,C14,clasification,2,431.171
A3,collection,C15,clasification,2,435.328
A3,collection,C16,clasification,2,449.3
A3,collection,C17,clasification,2,433.776
A3,collection,C18,clasification,2,447.329
A3,collection,C19,clasification,2,434.186
A3,collection,C20,clasification,3,452.524
A3,collection,C21,clasification,3,453.531
A4,collection,C1,clasification,0,141.032
A4,collection,C2,clasification,0,7.306
A4,collection,C3,clasification,0,5.721
A4,collection,C4,clasification,0,2.017
A4,collection,C5,clasification,0,3.09
A4,collection,C6,clasification,0,3.06
A4,collection,C7,clasification,0,10.634
A4,collection,C8,clasification,1,177.486
A4,collection,C9,clasification,1,177.486
A4,collection,C10,clasification,1,177.486
A4,collection,C11,clasification,2,421.976
A4,collection,C12,clasification,2,434.687
A4,collection,C13,clasification,2,429.191
A4,collection,C14,clasification,2,429.661
A4,collection,C15,clasification,2,433.818
A4,collection,C16,clasification,2,447.791
A4,collection,C17,clasification,2,432.267
A4,collection,C18,clasification,2,445.819
A4,collection,C19,clasification,2,432.676
A4,collection,C20,clasification,3,451.015
A4,collection,C21,clasification,3,452.022
A5,collection,C1,clasification,1,143.385
A5,collection,C2,clasification,0,10.719
A5,collection,C3,clasification,0,8.074
A5,collection,C4,clasification,0,4.523
A5,collection,C5,clasification,0,0.556
A5,collection,C6,clasification,0,0.314
A5,collection,C7,clasification,0,11.007
A5,collection,C8,clasification,1,175.929
A5,collection,C9,clasification,1,175.929
A5,collection,C10,clasification,1,175.929
A5,collection,C11,clasification,2,420.419
A5,collection,C12,clasification,2,433.13
A5,collection,C13,clasification,2,427.633
A5,collection,C14,clasification,2,428.104
A5,collection,C15,clasification,2,432.261
A5,collection,C16,clasification,2,446.234
A5,collection,C17,clasification,2,430.71
A5,collection,C18,clasification,2,444.262
A5,collection,C19,clasification,2,431.119
A5,collection,C20,clasification,3,449.458
A5,collection,C21,clasification,3,450.464
A6,collection,C1,clasification,0,139.32
A6,collection,C2,clasification,0,7.894
A6,collection,C3,clasification,0,5.25
A6,collection,C4,clasification,0,1.33
A6,collection,C5,clasification,0,3.919
A6,collection,C6,clasification,0,3.889
A6,collection,C7,clasification,0,12.135
A6,collection,C8,clasification,1,178.315
A6,collection,C9,clasification,1,178.315
A6,collection,C10,clasification,1,178.315
A6,collection,C11,clasification,2,422.805
A6,collection,C12,clasification,2,435.516
A6,collection,C13,clasification,2,430.02
A6,collection,C14,clasification,2,430.49
A6,collection,C15,clasification,2,434.647
A6,collection,C16,clasification,2,448.62
A6,collection,C17,clasification,2,433.096
A6,collection,C18,clasification,2,446.648
A6,collection,C19,clasification,2,433.505
A6,collection,C20,clasification,3,451.844
A6,collection,C21,clasification,3,452.851
A7,collection,C1,clasification,1,143.461
